episode,reward
1.000000000000000000e+00,-1.264711994827162869e+02
2.000000000000000000e+00,-1.415060358848276110e+02
3.000000000000000000e+00,-1.754756904639644972e+02
4.000000000000000000e+00,-2.372435249714748977e+02
5.000000000000000000e+00,-1.828397827469879076e+02
6.000000000000000000e+00,-9.046503435194897236e+01
7.000000000000000000e+00,-6.671118204843456567e+01
8.000000000000000000e+00,-1.547722453397745710e+02
9.000000000000000000e+00,-6.737403493308001146e+01
1.000000000000000000e+01,-5.152776794346198130e+01
1.100000000000000000e+01,-6.226120228786523114e+01
1.200000000000000000e+01,-5.740226046519934755e+01
1.300000000000000000e+01,-2.556168831097481586e+01
1.400000000000000000e+01,-5.544526642933531946e+01
1.500000000000000000e+01,-5.357185468371567083e+01
1.600000000000000000e+01,-2.811897604746029344e+01
1.700000000000000000e+01,-4.867100329578158835e+01
1.800000000000000000e+01,-5.646982555393729797e+01
1.900000000000000000e+01,-5.576934390298723088e+01
2.000000000000000000e+01,-3.229299137858625812e+01
2.100000000000000000e+01,-2.662248599784395537e+02
2.200000000000000000e+01,-1.013730415190333787e+02
2.300000000000000000e+01,-2.445524214100091456e+02
2.400000000000000000e+01,-1.233426098559147590e+02
2.500000000000000000e+01,-1.699005554398401046e+02
2.600000000000000000e+01,2.535128143532789124e+01
2.700000000000000000e+01,-6.678440977987672511e+01
2.800000000000000000e+01,-1.552495458124222409e+02
2.900000000000000000e+01,-2.393487471665110604e+02
3.000000000000000000e+01,-5.998166285467821979e+01
3.100000000000000000e+01,3.356284756231038813e+01
3.200000000000000000e+01,-8.888394461319525419e+01
3.300000000000000000e+01,-2.892649794098032956e+01
3.400000000000000000e+01,-4.097997789638769461e+01
3.500000000000000000e+01,-3.971376335755607556e+01
3.600000000000000000e+01,-6.414895613414131503e+01
3.700000000000000000e+01,-1.755602782189630062e+01
3.800000000000000000e+01,2.405670996047613031e+01
3.900000000000000000e+01,-6.457596453706749173e+01
4.000000000000000000e+01,-1.893995995060427049e+02
4.100000000000000000e+01,-1.045910993590757272e+02
4.200000000000000000e+01,-1.465171333547308450e+02
4.300000000000000000e+01,-1.456255304303732601e+02
4.400000000000000000e+01,-1.112814758181314119e+02
4.500000000000000000e+01,-6.685064090794209335e+01
4.600000000000000000e+01,2.076756286387551427e+03
4.700000000000000000e+01,3.737479553221052697e+01
4.800000000000000000e+01,-1.749839811905066824e+02
4.900000000000000000e+01,2.002745149080522424e+03
5.000000000000000000e+01,-9.149849848980160516e+01
5.100000000000000000e+01,2.002740534411675526e+03
5.200000000000000000e+01,-1.033323879494001289e+02
5.300000000000000000e+01,-3.438275842054076037e+01
5.400000000000000000e+01,-3.587802615052277133e+01
5.500000000000000000e+01,-3.826039488958840451e+01
5.600000000000000000e+01,-2.733424576307363196e+01
5.700000000000000000e+01,-3.588566924880863240e+01
5.800000000000000000e+01,-4.855187727035421119e+01
5.900000000000000000e+01,-4.251921653151862301e+01
6.000000000000000000e+01,-5.993621244327836450e+01
6.100000000000000000e+01,-4.826260656185615971e+01
6.200000000000000000e+01,5.137875200226183381e+00
6.300000000000000000e+01,-1.077840923152072428e+01
6.400000000000000000e+01,-1.459771891048674490e+02
6.500000000000000000e+01,-1.744170039406321848e+01
6.600000000000000000e+01,-7.513018936360140287e+01
6.700000000000000000e+01,-8.550394213239816565e+01
6.800000000000000000e+01,-9.314147588185419124e+01
6.900000000000000000e+01,-1.553026678961306573e+02
7.000000000000000000e+01,3.989501547204223186e+01
7.100000000000000000e+01,-1.460053629430346120e+02
7.200000000000000000e+01,-1.446983927163245767e+02
7.300000000000000000e+01,-1.346633181403194079e+01
7.400000000000000000e+01,-3.939424101526104494e+01
7.500000000000000000e+01,5.366640337339930511e+00
7.600000000000000000e+01,-1.616118592078755967e+02
7.700000000000000000e+01,-1.199075711622768807e+02
7.800000000000000000e+01,-4.895757031742979848e+01
7.900000000000000000e+01,-2.789181371032641721e+01
8.000000000000000000e+01,-3.099409429115323533e+01
8.100000000000000000e+01,-6.038945005168497460e+01
8.200000000000000000e+01,3.832339340593129862e+01
8.300000000000000000e+01,1.684502938922246784e+01
8.400000000000000000e+01,1.168062988654778422e+02
8.500000000000000000e+01,7.892893700362213849e+01
8.600000000000000000e+01,-8.299208234642527771e-01
8.700000000000000000e+01,-6.462984623166548204e+00
8.800000000000000000e+01,-2.517302845388847743e+01
8.900000000000000000e+01,2.004216119397449575e+03
9.000000000000000000e+01,-2.654837285480600073e+01
9.100000000000000000e+01,-5.986111722051272466e+01
9.200000000000000000e+01,-6.697294271292068402e+01
